SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,NCR-BEML RS3R-T&C-CPD-855,16/Jul/25,03/Jul/25,Emergency Inverter,"In TS#03 MC1-VAC2 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that during onboard testing at depot, particular VAC is not running in emergency mode. 
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. further, it was checked at inverter terminal, following observation were made:
a) Pin no - 1 & 2 (110vdc) found ok.
b) Pin No - 3 found ok.
c) Pin No - 4 wrt ground found low voltage.
d) Pin No - 5 & 6 (110vdc) found ok. 
e) Pin No - 7, 8 & 9 found zero - volt AC.
Based on above, FTI representative confirmed that the emergency inverter was faulty.
Correction/ Corrective action result:
1. The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally.
In (healthy) SI. No: 0616 (modified)
Out (faulty) SI. No: 0490 (modified)
2. Investigation report to be submitted for closer of the NCR.
Note: - This is 57th modified emergency inverter failure.",BTN2028U51,Modified,,0490,0616,Shilpa Sahu,1,VAC,03,MC1-VAC2,M/s Faiveley,OPEN,Recouped ,,"Received on 
18.07.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,NCR-BEML RS3R-T&C-CPD-856,16/Jul/25,11/Jul/25,Emergency Inverter,"In TS#11 MC1-VAC2 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that during onboard testing at depot, particular VAC is not running in emergency mode. 
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. further, it was checked at inverter terminal, following observation were made:
a) Pin no - 1 & 2 (110vdc) found ok.
b) Pin No - 3 found ok.
c) Pin No - 4 wrt ground found low voltage.
d) Pin No - 5 & 6 (110vdc) found ok. 
e) Pin No - 7, 8 & 9 found zero - volt AC.
Based on above, FTI representative confirmed that the emergency inverter was faulty.
Correction/ Corrective action result:
1. The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally.
In (healthy) SI. No: 0449 (modified)
Out (faulty) SI. No: 026 (modified)
2. Investigation report to be submitted for closer of the NCR.
Note: - This is 58th modified emergency inverter failure.",BTN2028U51,Modified,,026,0449,Shilpa Sahu,1,VAC,11,MC1-VAC2,M/s Faiveley,OPEN,Recouped ,,"Received on 
18.07.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,NCR-BEML RS3R-T&C-CPD-857,25/Aug/25,21/Jul/25,Compressor,"Metro Railway has reported that TS#11, TC2, VAC1 is running in emergency mode in mainline even though 415 V DC supply is available. While investigating at depot it has been observed that VAC Major fault is active for referred car on TCMS VDU.
When checked on Mona PTU, it is found that RCCB trip & Compressor -1 CB trip faults are active in event log. Further when physically checked in VAC control panel, RCCB (QF01) & Compressor-1 MPCB (QM01) are found in tripped condition.
During investigation, referred compressor winding resistance across all the phases are checked & found balanced i.e., 1.2 Ω, 1.3 Ω & 1.3 Ω. Further all related wirings are checked for any looseness, cut mark or damage, found everything normal.
Further, referred compressor winding is checked with respect to ground. It is found that for compressor 1 winding (U, V & W) Vs ground is showing value measured as 50 ΚΩ which should actually should show as open loop.
Based on above, compressor 1 fault has been assured. VAC SI No.: N18-4144
Faulty SI No. 18DK2923Z
Healthy SI No. - 23HE1909Z
After replacement with healthy compressor from DLP stock, fault is not persisting.
Correction/corrective action result:
1. Healthy Compressor is handed over to MR for replacement by themselves against DLP failure.
2. Item to be repaired/ replaced in DLP at the earliest.
3. Investigation report to be submitted for closure of the NCR.
Note: This is 9th compressor failure after flashing of SW 0.12.",___,___,,18DK2923Z,23HE1909Z,Shilpa Sahu,1,VAC,11,TC2-VAC1,M/s Faiveley,OPEN,Recouped ,,"Received on 
24.07.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,NCR-BEML RS3R-T&C-CPD-858,25/Aug/25,23/Jul/25,Compressor,"Metro Railway has reported that TS#05, MC1, VAC1 is running in emergency mode in mainline even though 415 V DC supply is available. While investigating at depot it has been observed that VAC Major fault is active for referred car on TCMS VDU.
When checked on Mona PTU, it is found that RCCB trip & Compressor-1 CB trip faults are active in event log Further when physically checked in VAC control panel, RCCB (QF01) & Compressor-1 MPCB (QM01) are found in tripped condition.
During investigation, referred compressor winding resistance across all the phases are checked & found balanced i.e., 1.20, 130 & 1.30. Further all related wirings are checked for any looseness, cut mark or damage, found everything normal.
Further, referred compressor winding is checked with respect to ground. It is found that for compressor 1 winding (U, V & W) Vs ground is showing value measured as u-26 KQ, ν - 25 ΚΩ & w - 25 ΚΩ which should actually show as open loop.
Based on above, compressor 1 fault has been assured. VAC SI No.: A18-4004
Faulty SI No. 17LY1210Z
Healthy SI No.-23HE1898Z
After replacement with healthy compressor from DLP stock, fault is not persisting.
Correction / corrective action result:
1. Healthy Compressor is handed over to Metro Railway for replacement by themselves against DLP failure.
2. Item to be repaired/replaced in DLP at the earliest.
3. Investigation report to be submitted for closure of the NCR
Note: This is 10th compressor failure after flashing of SW 0.12.",___,___,,17LY1210Z,23HE1898Z,Shilpa Sahu,1,VAC,05,MC1-VAC1,M/s Faiveley,OPEN,Recouped ,,"Received on 
24.07.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,NCR-BEML RS3R-T&C-CPD-859,22/Aug/25,02/Aug/25,Emergency Inverter,"In TS#02 MC1-VAC1 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that during onboard testing at depot, particular VAC is not running in emergency mode.
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. Further, it was checked at inverter terminal following observations were made:
a) Pin no-1 & 2 (110vdc) found ok.
b) Pin no-3 found ok.
c) Pin no-4 wrt ground found low voltage.
d) Pin no-5 & 6 (110 vdc) found ok.
e) Pin no-7,8 & 9 found zero-volt AC.
Based on above, FTI representative confirmed that the emergency inverter was faulty.
Further faulty EMI is replaced with DLP stock EMI to Si no. 0625.
On checking at trainside it has been observed that this particular EMI is running only for 1-2 sec & suddenly getting stopped.
Thus, once again, EMI is replaced with another healthy EMI from DLP with Si no. 0620 & checked at trainside same is found healthy.
Cause of nonconformity:
1. EMI with SI No. 0625 failed at zero hrs.
2. M/s Faiveley to investigate and submit the investigation result.
3. Material to be recouped at the earliest as failure rate of modified inverter is more.
Note: This is 59th & 60th modified emergency inverters failure.",BTN2028U51,Modified,,"i) 0435
ii) 0625",__,Shilpa Sahu,2,VAC,02,MC1-VAC1,M/s Faiveley,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,NCR-BEML RS3R-T&C-CPD-860,21/Aug/25,21/Aug/25,TCMS VDU,"During commissioning we noticed that in TS#16-DMC1 TCMS VDU is not communicating with CN1. Thereafter, we had checked all related wiring thoroughly in the presence of OEM and it was concluded by OEM that the VDU was faulty. Then faulty VDU was replaced with a healthy one from DLP stock.
Correction / Corrective Action Result:
1. The faulty TCMS VDU has been replaced with a healthy one from DLP stock. Then functionality checked and result found normal.
In SI. NO: DM06185
Out SI. NO: FB89385
2. DLP stock to be recouped at the earliest.",___,___,,FB89385,DM06185,Chandan Kumar ,1,TCMS,16,DMC1,M/s MELCO,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,NCR-BEML RS3R-T&C-CPD-861,19/Sep/25,03/Sep/25,PLC (Logic controller) for Saloon,"During commission activity at depot, while checking the Saloon VAC health, it has been observed that DI_19 signal – 415/3 Ph VAC OK signal is not appearing high on MONA PTU even though 415 V AC is available from train side (BEML side).
All related wiring has been checked & found ok. On suspect basis, FTI field team has taken a call for replacement of referred PLC with healthy one from DLP stock. Based on above, PLC has been replaced. Fault got reset after replacement.
Faulty Sl No. – 01826-1939
Healthy Sl No. – 01918-2407  
Correction/ corrective action result: 
1. Item to be repaired/ replaced at the earliest.
2. Investigation report to be submitted for closure of the NCR.",___,___,,01826-1939,01918-2407,Shilpa Sahu,1,VAC,16,MC2-VAC1,M/s Faiveley,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,NCR-BEML RS3R-T&C-CPD-862,19/Sep/25,04/Sep/25,PLC (Logic controller) for Saloon,"During commission activity at depot, while checking the Saloon VAC health, it has been observed that PLC is not getting powered on even though 110 V DC is available from train side (BEML side).
All related wiring has been checked & found ok. On suspect basis, FTI field team has taken a call for replacement of referred PLC with healthy one from DLP stock. Based on above, PLC has been replaced. 
Faulty Sl No. – 01842- 2023
Healthy Sl No. – 01828 - 1939  
Correction/ corrective action result: 
1. Item to be repaired/ replaced at the earliest.
2. Investigation report to be submitted for closure of the NCR.",___,___,,01842- 2023,01828 - 1939,Shilpa Sahu,1,VAC,15,DMC2-VAC2,M/s Faiveley,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,NCR-BEML RS3R-T&C-CPD-863,19/Sep/25,08/Sep/25,PLC (Logic controller) for Saloon,"During commission activity at depot, while checking the Saloon VAC health, it has been observed that DI_17 signal – Return Air Damper feedback signal is not appearing high on MONA PTU while RAD closes during self-test.
The same has also been checked in service mode by giving open/close command to RAD through MONA PTU. But in either of the cases, RAD feedback signal DI_17 is not triggering high.
All related wiring has been checked & found ok. On suspect basis, FTI field team has taken a call for replacement of referred PLC with healthy one from DLP stock. Based on above, PLC has been replaced. Fault got reset after replacement.
Faulty Sl No. –   01830-1939
Healthy Sl No. – 01783 - 1829  
Correction/ corrective action result: 
1. Item to be repaired/ replaced at the earliest.
2. Investigation report to be submitted for closure of the NCR.",___,___,,01830-1939,01783 - 1829,Shilpa Sahu,1,VAC,16,DMC2-VAC2,M/s Faiveley,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,NCR-BEML RS3R-T&C-CPD-864,06/Oct/25,12/Jun/25,"CCU
MR-LHD
MR-SHD","During commissioning of TS#17, we found that 01 no. CCU, 01 no. MR-LHD & 12 nos. MR-SHD modules were not communicating with the FDS train BUS. After investigation it was found that 01 no. CCU (1013), 01 no. MR-LHD (5071) and 12 nos. MR-SHD (3030, 3057, 3090, 3026, 3065, 3098, 3011, 3019, 3072, 3093, 3018, 3056) modules are faulty.
Correction / Corrective Action Result: 
Failure happened due to wrong wiring and hence OEM has rejected the responsibility. The items are under repairing activity with OEM.","(i) CCU - 94222060, 
(ii) MR-LHD – 94222069,
(iii) MR-SHD – 94222065.",___,,"(i) CCU – 1013,
(ii) MR-LHD – 5071,
(iii) MR-SHD – 3030, 3057, 3090, 3026, 3065, 3098, 3011, 3019, 3072, 3093, 3018, 3056.",___,Chandan Kumar ,"(i) 01 no. CCU,
(ii) 01 no. MR-LHD,
(iii) 12 nos. MR-SHD.",FDS,17,DMC1 & TC1,M/s SEMA,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,NCR-BEML RS3R-T&C-CPD-865,15/Oct/25,26/Sep/25,Emergency Inverter,"In TS#13 MC2-VAC2 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that during onboard testing at depot, particular VAC is not running in emergency mode.
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. Further, it was checked at inverter terminal, following observations were made: 
a)	Pin no- 1 & 2 (110vdc) found ok.
b)	Pin no- 3 found ok.
c)	Pin no- 4 wrt ground found ok.
d)	Pin no- 5 & 6 (110 vdc) found ok.
e)	Pin no- at pin no. 7,8 & 9 output voltage are fluctuating & are not stable.
Based on above, FTI representative confirmed that the emergency inverter was faulty.
Correction/ corrective action result: 
1.	The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0302 (modified)	 
    Out (faulty) Sl. No: 0419 (modified)
2.	Investigation report to be submitted for closer of the NCR. 
Note: – This is 61st modified emergency inverter failure.",BTN2028U51,___,,0419,0302,Shilpa Sahu,1,VAC,13,MC2 VAC2,M/s Faiveley,OPEN,Recouped ,,"Received on 
21.10.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,NCR-BEML RS3R-T&C-CPD-866,15/Oct/25,11/Oct/25,Emergency Inverter,"In TS#02 MC2-VAC2 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that particular VAC is not running in emergency mode.
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. Further, it was checked at inverter terminal, following observations were made: 
a)	Pin no- 1 & 2 (110 V DC) found ok.
b)	Pin no- 3 (110 V DC) EMI ok signal found ok.
c)	Pin no- 4 (110 V DC) EMI ok signal found ok.
d)	Pin no- 5&6 (110 V DC) START + & START- found ok.
e)	Pin no 7,8 & 9 (U, V & W) output voltage is inconsistent.
Further inverter is checked for start time delay (3 times) which came as 8,11 & 14 seconds which is not within limit. Based on same inverter is declared faulty by FTI. After replacement function test done & found ok.
Correction/ corrective action result: 
1.	The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0234 (modified)	 
    Out (faulty) Sl. No: 0438 (modified)
2.	Investigation report to be submitted for closer of the NCR. 
Note: – This is 62nd modified emergency inverter failure.",BTN2028U51,___,,0438,0234,Shilpa Sahu,1,VAC,02,MC2 VAC2,M/s Faiveley,OPEN,Recouped ,,"Received on 
21.10.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,NCR-BEML RS3R-T&C-CPD-867,18/Oct/25,06/Oct/25,Door close left push button relay (DCLPBR),"After pressing the door close left push button (DCLPB) on OP panel of DMC1 of TS#16, observed that the relay (DCLPBR) was not energized. Check the input voltage with respect to ground and found 110V DC. It was suspected that the relay is faulty. Then the faulty relay has been removed and healthy relay was fitted from our spare stock and now the realy is working.
Correction/ corrective action result: 
1. Faulty relay has been replaced with healthy relay which was taken form DLP Spare to continue the operation.
2. M/s AAL has provide 1 no. DCLPB relay immediately to recoup the DLP stock at depot.",CAD 326,___,,___,___,Shirshendu Majumder,1,VCC,16,DCM1,M/s AAL,OPEN,Recouped,,"Received on 
26.11.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,NCR-BEML RS3R-T&C-CPD-868,14/Nov/25,31/Oct/25,Emergency Inverter,"In TS#08 MC2-VAC1 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that particular VAC is not running in emergency mode.
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. Further, it was checked at inverter terminal, following observations were made: 
a)	Pin no- 1 & 2 (110 V DC) found ok.
b)	Pin no- 3 (110 V DC) EMI ok signal found ok.
c)	Pin no- 4 wrt ground found low voltage.
d)	Pin no- 5&6 (110 V DC) START + & START- found ok.
e)	Pin no - 7,8 & 9 found zero-volt AC.
Based on same inverter is declared faulty by FTI. After replacement function test done & found ok.
Correction/ corrective action result: 
1.	The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0522 (modified)	 
    Out (faulty) Sl. No: 0422 (modified)
		
2.	Investigation report to be submitted for closer of the NCR. 
Note: – This is 63rd modified emergency inverter failure.",BTN2028U51,Modified,,0422,0522,Shilpa Sahu,1,VAC,08,MC2-VAC1,M/s Faiveley,OPEN,Recouped ,,"Received on 
10.11.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,NCR-BEML RS3R-T&C-CPD-869,14/Nov/25,31/Oct/25,Emergency Inverter,"In TS#08 TC2-VAC1 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that particular VAC is not running in emergency mode.
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. Further, it was checked at inverter terminal, following observations were made: 
a)	Pin no- 1 & 2 (110 V DC) found ok.
b)	Pin no- 3 (110 V DC) EMI ok signal found ok.
c)	Pin no- 4 wrt ground found low voltage.
d)	Pin no- 5&6 (110 V DC) START + & START- found ok.
e)	Pin no - 7,8 & 9 found zero-volt AC.
Based on same inverter is declared faulty by FTI. After replacement function test done & found ok.
Correction/ corrective action result: 
1.	The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0215 (modified)	 
    Out (faulty) Sl. No: 0406 (modified)
2.	Investigation report to be submitted for closer of the NCR. 
Note: – This is 64th modified emergency inverter failure.",BTN2028U51,Modified,,0406,0215,Shilpa Sahu,1,VAC,08,TC2-VAC1,M/s Faiveley,OPEN,Recouped ,,"Received on 
10.11.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,NCR-BEML RS3R-T&C-CPD-870,07/Nov/25,06/Nov/25,TFT,"During commissioning reported that in TS#16 DMC1 R2 TFT is not glowing. All related wiring checked and it was concluded by OEM that the TFT was found faulty.
Correction / Corrective Action Result: 
1.	The faulty TFT has been replaced with a healthy one from DLP stock. Functionality has been checked and result found okay.
In (Healthy) Sl. No: 1810262-0001
Out (Faulty) Sl. No: 2303835-0012
2.   DLP stock to be recouped at the earliest.",___,___,,2303835-0012,1810262-0001,Shashi Shekhar Mishra,1,PAPIS,16,DMC1-R2,M/s Televic,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,NCR-BEML RS3R-T&C-CPD-871,14/Nov/25,08/Nov/25,Emergency Inverter,"In TS#01 TC2-VAC2 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that particular VAC is not running in emergency mode.
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. Further, it was checked at inverter terminal, following observations were made: 
a)	Pin no- 1 & 2 (110 V DC) found ok.
b)	Pin no- 3 (110 V DC) EMI ok signal found ok.
c)	Pin no- 4 (110 V DC) EMI ok signal found intermittent.
d)	Pin no- 5&6 (110 V DC) START + & START- found ok.
e)	Pin no 7,8 & 9 (U, V & W) output voltage is inconsistent.
Based on same inverter is declared faulty by FTI. After replacement function test done & found ok.
Correction/ corrective action result: 
1.	The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0623 (modified)	 
    Out (faulty) Sl. No: 0502 (modified)		
2.	Investigation report to be submitted for closer of the NCR. 
Note: – This is 65th modified emergency inverter failure.",BTN2028U51,Modified,,0502,0623,Shilpa Sahu,1,VAC,01,TC2-VAC2,M/s Faiveley,OPEN,Recouped ,,"Received on 
17.11.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,NCR-BEML RS3R-T&C-CPD-872,14/Nov/25,17/Oct/25,Smoke Sensor,"In depot smoke sensor fault has popped up in TS#16, TC2, VAC1 during train movement in depot on TCMS VDU. TS#16 still not handed over to Customer.
While investigating the fault, it has been observed that, no light is glowing on smoke sensor. All related wiring of smoke sensor is checked & found ok.
To assure about whether smoke sensor is faulty or sensor is misbehaving, referred smoke sensor has been cleaned & reinstalled to VAC. But fault is still persisting. Based on same Smoke sensor is declared faulty by FTI. After replacement function test done & found ok.
Healthy (In) item Sl. No:   C1517082018
Faulty (Out) item Sl. No:  CH1516121001
Thereafter On-board test was done and found normal.
Correction/ corrective action result: 
Smoke sensor has been replaced from DLP stock
1. Item details:
    In Sl. No: C1517082018 (healthy)
    Out Sl. No: CH1516121001 (faulty)
2. Material to be recouped / repaired at the earliest.
3. Investigation report to be submitted for closure of the NCR.",___,___,,CH1516121001,C1517082018,Shilpa Sahu,1,VAC,16,TC2-VAC1,M/s Faiveley,OPEN,Recouped ,,"Received on 
17.11.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,NCR-BEML RS3R-T&C-CPD-873,24/Oct/25,24/Oct/25,ACP,"During commissioning, it was noticed that in TS#17 DMC2 is not communicating with TGUT and it is showing red. After that BEML checked all related to wiring and found wiring was normal. Further in same place when we swapped the ACP from DMC1, it was working normal. So, it was concluded that ACP is found faulty. Faulty (out) item Sl. No: 1909594-0001
Correction/ corrective action result: 
1. Healthy item installed from DLP stock. 
2. Faulty item to be repaired/ replaced at the earliest.
3. Investigation report to be submitted for closure of the NCR.",___,___,,1909594-0001,___,Shashi Shekhar Mishra,1,PAPIS,17,DMC2,M/s Televic,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,NCR-BEML RS3R-T&C-CPD-874,09/Dec/25,17/Nov/25,Emergency Inverter,"In TS#13 TC2-VAC1 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that particular VAC is not running in emergency mode.
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. Further, it was checked at inverter terminal, following observations were made: 
a)	Pin no- 1 & 2 (110 V DC) found ok.
b)	Pin no- 3 (110 V DC) EMI ok signal found ok.
c)	Pin no- 4 (110 V DC) EMI ok signal found intermittent.
d)	Pin no- 5&6 (110 V DC) START + & START- found ok.
e)	Pin no 7,8 & 9 (U, V & W) output voltage is inconsistent.
Based on same inverter is declared faulty by FTI. After replacement function test done & found ok.
Correction/ corrective action result: 
1.	The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0204 (modified)	 
    Out (faulty) Sl. No: 0521 (modified)
		
2.	Investigation report to be submitted for closer of the NCR. 
Note: – This is 68th modified emergency inverter failure.",BTN2028U51,Modified,,0521,0204,Shilpa Sahu,1,VAC,13,TC2 - VAC1,M/s Faiveley,OPEN,Recouped,,"Received on 
17.11.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,NCR-BEML RS3R-T&C-CPD-875,27/Nov/25,04/Nov/24,Pressure sensor of BCU2 (U – Position),"During rake (TS#15) offering to mainline on 22.11.2025 the following faults observed in MC1 bogie 2 when DBV applied in mode selector OFF position.
1.	FDS release DCL failure B2
2.	CDS DCL deviation B2
To rectify the above fault BCU2 has been swapped from same the location of TS#16 (MC1 B2) as suggested by KBI to make train healthy for mainline offering.
After the above activity the aforesaid problem was resolved, but a 0.08 bar residual C-pressure of MC1 B2 was showing in TCMS VDU when other bogies C-pressures are NIL.
KBI confirmed that the pressure sensor inside BCU2 location U is faulty on 23.11.2025 after investigation.
Correction/ corrective action result:
1. Faulty (Si. No.: Z230228374) pressure sensor replaced with a healthy (Si. No.: Z230118888) one by KBI from DLP
     stock on 23.11.2025 and problem resolved.
2. M/s KBI has to submit the failure investigation report.",STN29890 (DG10-S),___,,Z230228374,Z230118888,Shirshendu Majumder,1,Bogie,16,MC1,M/s KBI,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,NCR-BEML RS3R-T&C-CPD-876,01/Dec/25,27/Nov/25,Emergency Inverter,"In TS#07 MC1-VAC2 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that during onboard testing at depot, particular VAC is sometimes running in emergency mode whereas sometime not running.
During investigation it was found that EMI is running intimately. Inverter was checked for any wire looseness or wrong connection, but no abnormalities found. Further, it was checked at inverter terminal, following observations were made: 
a)	Pin no- 1 & 2 (110 V DC) found ok.
b)	Pin no- 3 found ok.
c)	Pin no- 4 wrt ground found ok.
d)	Pin no- 5 & 6 (110 V DC) found ok.
e)	Pin no- At 7,8 & 9, output AC voltage is intermittent.
Inverter is also checked for start time delay (3 times) which came as 11,12 & 13 seconds which is not within limit.
Based on same inverter is declared faulty by FTI. After replacement function test done & found ok.
Correction/ corrective action result: 
1.	The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0197 (modified)	 
    Out (faulty) Sl. No: 0171 (modified)		
2.	Investigation report to be submitted for closer of the NCR. 
Note: – This is 66th modified emergency inverter failure.",BTN2028U51,Modified,,0171,0197,Shilpa Sahu,1,VAC,07,MC1-VAC2,M/s Faiveley,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,NCR-BEML RS3R-T&C-CPD-877,01/Dec/25,28/Nov/25,Emergency Inverter,"In TS#06 TC1-VAC2 emergency inverter fault was reported by Metro Railway during their schedule checking at depot. MR has confirmed that particular VAC is not running in emergency mode.
On investigation it was found that EMI is physically not running. Emergency inverter was checked for any wire looseness or wrong connection, but no abnormalities were found. Further, it was checked at inverter terminal, following observations were made: 
a)	Pin no- 1 & 2 (110 V DC) found ok.
b)	Pin no- 3 (110 V DC) EMI ok signal found ok.
c)	Pin no- 4 (110 V DC) EMI ok signal found not ok.
d)	Pin no- 5&6 (110 V DC) START + & START- found ok.
e)	Pin no 7,8 & 9 (U, V & W) output voltage is inconsistent.
Based on same inverter is declared faulty by FTI. After replacement with DLP stock, function test done & found ok.
Correction/ corrective action result: 
1.	The faulty inverter is replaced with a healthy emergency inverter and VAC function checked and it is working normally. 
    In (healthy) Sl. No: 0231 (modified)	 
    Out (faulty) Sl. No: 0152 (modified)		
2.	Investigation report to be submitted for closer of the NCR. 
Note: – This is 67th modified emergency inverter failure.",BTN2028U51,Modified,,0152,0231,Shilpa Sahu,1,VAC,06,TC1-VAC2,M/s Faiveley,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
